,Source Comm Interaction Count,Target Comm Interaction Count,Id,Label,timeset,twittername,first name,last name,political affiliation,influence,betweenness_centrality,communityid,out_degree_centrality,in_degree_centrality,polygon
271,,2.0,24913022,,,,,,Activist Organization,0.048844,1024576.2817719999,2.0,0.0,0.009606,3
281,,2.0,377588094,,,,,,Activist Organization,0.043572,415939.16601,2.0,0.0,0.005808,3
270,,2.0,47452040,,,,,,Activist Organization,0.07714299999999999,1086252.077542,2.0,0.0,0.01251,3
277,,2.0,2715275551,,,,,,Activist Organization,0.066483,685312.997198,2.0,0.0,0.008712000000000001,3
259,,3.0,14079041,,,,,,Activist Organization,0.203518,3091532.81163,2.0,0.0,0.036412,3
223,,2.0,17823761,,,MatthewGreenNDP,Matthew,Green,NDP,0.10311600000000001,1516333.907811,2.0,0.0,0.021892,6
220,,2.0,266855812,,,r_garrison,Randall,Garrison,NDP,0.043417000000000004,909183.2264719999,2.0,0.0,0.011058,6
217,,2.0,175259033,,,taylorbachrach,Taylor,Bachrach,NDP,0.072382,514427.847042,2.0,0.0,0.006702,6
69,,2.0,1382491059247255554,,,Shelby_Kramp,Shelby,Kramp-Neuman,Conservative,0.042642,422347.472387,3.0,0.0,0.007484,6
96,,3.0,256360738,,,AndrewScheer,Andrew,Scheer,Conservative,0.027523000000000002,433765.773983,3.0,0.0,0.006813,6
28,,3.0,737359208945844224,,,BobBenzen,Bob,Benzen,Conservative,0.084896,1233496.3266780002,3.0,0.0,0.015972,6
57,,2.0,172004509,,,ScottAAitchison,Scott,Aitchison,Conservative,0.01977,206564.604172,3.0,0.0,0.004579,6
81,,2.0,1086084557009575936,,,AlexRuff17,Alex,Ruff,Conservative,0.056597,705669.900703,3.0,0.0,0.008936,6
20,,3.0,24990450,,,renevillemure,René,Villemure,Bloc Québécois,0.068354,595854.835476,4.0,0.0,0.008489,6
17,,2.0,335361064,,,martchampoux,Martin,Champoux,Bloc Québécois,0.054659000000000006,581107.48245,4.0,0.0,0.010723,6
131,,2.0,2800741820,,,trudel_denis,Denis,Trudel,Bloc Québécois,0.072978,284271.951189,4.0,0.0,0.011951,6
251,,2.0,211564038,,,,,,Activist Organization,0.074817,1403026.44631,5.0,0.0,0.015861,3
253,,2.0,119925381,,,,,,Activist Organization,0.061598,1397821.003749,5.0,0.0,0.012062999999999999,3
240,,2.0,45976740,,,,,,Activist Organization,0.13606600000000002,1922583.14039,6.0,0.0,0.02502,3
274,,2.0,3299711869,,,,,,Activist Organization,0.023259000000000002,238194.53961900002,8.0,0.0,0.003127,3
226,,2.0,158095776,,,,,,Activist Organization,0.013568,488224.892033,9.0,0.0,0.00201,3
245,,2.0,218952640,,,,,,Activist Organization,0.020546000000000002,331453.00487600005,10.0,0.0,0.004579,3
239,,2.0,40246161,,,,,,Activist Organization,0.016281,232525.399286,11.0,0.0,0.003351,3
1010,2.0,,16272844,,,,,,,0.0038770000000000002,3097217.448389,1.0,0.011728,0.0,1
3071,2.0,,1446352422272528385,,,,,,,0.0038770000000000002,3781095.477936,1.0,0.005696,0.0,1
